substrate,composition_index,group_index,Well,n_measurements,Voc_mean,Jsc_mAcm2_mean,FF_pct_mean,PCE_pct_mean,Voc_max,Jsc_mAcm2_max,FF_pct_max,PCE_pct_max
1,1,1,A1,12,0.790226332,19.07798274,48.90891826,7.450058604,0.850490283,21.11369385,60.74465883,10.20016839
1,2,1,A2,10,0.784690151,17.68829753,45.51661224,6.297278846,0.84104229,19.0659597,51.13186042,7.673263689
1,3,2,A3,10,0.771126905,16.6113117,46.57720698,5.946487976,0.81828811,18.95468507,50.64612972,6.716715053
1,4,3,A4,10,0.773197689,16.83391203,46.32361009,6.032428783,0.824391395,19.65855585,52.35798125,7.938800994
1,5,4,A5,12,0.779549764,17.57120976,46.33064627,6.334295158,0.828771349,19.08172355,51.83973186,7.615428859
1,6,5,A6,12,0.778389463,18.19987304,45.96752979,6.496664991,0.829590774,20.07300037,52.07661426,7.953385429
1,7,6,A7,10,0.776864802,18.44484763,46.69251587,6.694295789,0.81684098,20.26453621,54.70614531,8.381322936
1,8,7,A8,11,0.771029722,18.9020197,47.09005198,6.961088997,0.824250158,20.64965458,57.00554985,9.159707534
1,9,8,A9,12,0.764381745,17.45298196,46.42665869,6.206223053,0.806453929,19.81561609,52.12619323,7.782738227
1,10,9,A10,12,0.780222713,18.11238299,45.89741429,6.475699882,0.829512607,19.49746689,52.62787179,8.07837726
1,11,9,A11,12,0.770060777,18.55843737,46.09297829,6.587135594,0.817399326,20.47310728,52.31922687,8.140186605
2,1,1,B1,12,0.759798325,16.63057865,46.43340124,5.889620258,0.810020233,19.82718564,58.67064931,8.48826888
2,2,1,B2,10,0.778588457,15.93542397,45.42960064,5.621922761,0.82835564,18.0532937,51.00644628,6.970556753
2,3,2,B3,10,0.763790033,15.88345099,44.85087034,5.42770338,0.806169073,18.73792499,52.30043833,7.379614801
2,4,3,B4,10,0.765494365,16.35495119,45.32451408,5.666875025,0.813497209,18.4358839,52.34214334,7.374896317
2,5,4,B5,12,0.765487967,17.62981611,45.664918,6.158425136,0.803173773,19.46741886,54.9046108,7.873990391
2,6,5,B6,12,0.776221022,16.16989896,46.55303661,5.852187166,0.81841139,18.52850061,55.65166947,7.64363214
2,7,6,B7,10,0.778716388,15.94813789,46.16670003,5.732933288,0.82556092,18.87715107,52.57393209,7.593763429
2,8,7,B8,12,0.770092385,15.55694471,46.53943372,5.597840649,0.816539869,19.42553306,55.24266693,8.371436697
2,9,8,B9,12,0.772975897,15.88068867,45.20757811,5.541048539,0.821086868,18.00912264,51.58997497,7.153454298
2,10,9,B10,12,0.773448963,15.83080158,45.90057472,5.625526972,0.824635622,18.87264265,54.14543469,7.986272275
2,11,9,B11,8,0.773002743,16.92182487,45.70705561,5.987834942,0.816243695,18.9164782,53.20646429,7.626875126
3,1,1,C1,12,0.785023364,18.71227513,45.99659901,6.817870359,0.831021028,20.89416665,59.17190168,9.887566145
3,2,1,C2,12,0.786996174,17.43258296,45.29725243,6.22656623,0.834872282,19.91202247,51.38675977,8.03373058
3,3,2,C3,10,0.801694985,19.49742649,48.30682768,7.586318336,0.834230082,21.15308439,59.45344509,10.14217407
3,4,3,C4,10,0.775707751,18.68337981,46.36198973,6.720447547,0.829623182,20.45627921,53.12182601,8.607077627
3,5,4,C5,12,0.776554028,18.08362888,47.6543026,6.729534901,0.818120992,20.40378644,54.38207303,8.522480153
3,6,5,C6,12,0.794085745,18.77518245,47.21843412,7.010521071,0.872611307,20.41735857,53.61718264,8.379431989
3,7,6,C7,10,0.77101938,18.25392711,47.01963723,6.608023985,0.815363349,19.4717008,55.38575587,7.842643384
3,8,7,C8,12,0.780552424,20.15226988,49.81422345,7.887950164,0.839192924,20.98539506,63.47272875,11.0067774
3,9,8,C9,12,0.788951105,20.19394225,50.50710118,8.084213671,0.826844651,21.18567014,61.42386176,10.41635787
3,10,9,C10,12,0.776356154,19.4347621,47.9103867,7.247381014,0.806734325,20.66570978,58.70664926,9.503648992
